event_id,date_start,date_end,date_precision,date_status,countries,subjects,event_zh,source_ids,source_locator,date_note,after_event_ids
G001,0001,,year,secondary,sargon,calendar,卢加萨尔古斯相关遗迹发现被用作通行纪元起点。,S01|S06,纪元起源,传统纪元基点；不等于各国在同一天同时改历。,
U001,0031,,year,explicit,ursus,state,骏鹰相关国号改为乌萨斯。,S22,10-19国号对话,剧情人物明确给出泰拉历31年。,
H001,0400,,circa_year,approximate,higashi,civil_war,东国中央秩序瓦解后进入长期武家纷争。,S32,History,约400年；误差宽度未知，不填虚构上下限。,
Y001,0698,,year,secondary,yan,institutions,炎国推行天师相关改革。,S33,698年条目,百科对设定集的转述。,
Y002,0713,,year,secondary,yan,infrastructure,炎国启动六十年基础设施规划。,S33,713年条目,计划起年，不据此假定所有工程773年竣工。,Y001
Y003,0790,,year,secondary,yan,transport,炎国全国道路网络发展达到新的阶段。,S33,790年条目,记录交通史节点，不表示现代移动城市体系完全建成。,Y002
H002,0807,,year,secondary,higashi,state,两国诏确立东国南北两方并立的格局。,S32,Two Nations Edict,停战与并立不等于永久和平或重新统一。,H001
Y004,0845,,year,secondary,yan,diplomacy,炎国扩大对外开放与交流。,S01|S33,845年条目,不把开放年份当作炎国历法起点。,
Y005,0855,,year,secondary,yan,frontier,炎国推进北境防御建设。,S01|S33,855年条目,国家防务背景。,
M001,0917,,season,secondary,minos|sargon,occupation,萨尔贡入侵米诺斯，开启长期占领。,S27,History：917 spring,季节为春；没有换算成固定月份。,
L001,0969,,year,secondary,leithanien,witch_king,巫王即位。,S01|S29,969年条目,与承认叙拉古独立同年；不推定两事同日。,
S001,0969,,year,explicit,siracusa|leithanien,independence,修订金律承认叙拉古独立。,S24|S25,Bassline档案3；Siracusa历史,官方档案转载明确给出969年。,
C001,1016,1019,year_range,secondary,columbia|victoria,independence_war,哥伦比亚独立战争。,S01,1016—1019年条目,战争区间与建国单年分别记录。,
C002,1017,,year,secondary,columbia|victoria,independence,哥伦比亚脱离维多利亚统治。,S01,1017年条目,与1019年正式建国是不同阶段，不合并成冲突。,
C003,1019,,year,secondary,columbia,state,哥伦比亚正式建国，建立宪制与选举安排。,S01|S34,1019年条目,不倒推出当年所有制度已成熟。,C002
U002,1019,1062,year_range,secondary,ursus|kazimierz,war,第十次乌萨斯—卡西米尔战争。,S23,History：1019–1062,跨度不意味着持续保持同样强度的战斗。,
T003,1020,1029,decade,explicit,gaul|victoria,calais_blason_castle,102X年子爵请柬称林地城堡已经竣工，并预告云游剧团演出。,S40,背景故事：克莱布拉松子爵的请柬,1020至1029是请柬落款范围，不是建成年范围；竣工不晚于请柬，可能早于1020；团体未指名。,
G002,1029-08,1031-10-21,mixed_range,secondary,gaul|leithanien|victoria|ursus,four_nations_war,四皇会战。,S18,日期及参战阶段,起点精确至月，终点至日；不同国家参战时间不同。,
G003,1031-10-21,,day,secondary,gaul|victoria|leithanien|ursus,lingones,高卢首都林贡陷落，高卢帝国终结。,S19,Lingones陷落日期,林贡与维多利亚首都伦蒂尼姆不可混同。,
M002,1039,,year,secondary,minos|sargon,resistance,米诺斯反抗萨尔贡统治的行动扩大。,S01|S27,1039年条目,与1041解放及1042撤军区分。,M001
S002,1039,,year,secondary,siracusa,sicilia,西西里夫人的灰厅与家族秩序形成关键转折。,S01|S25,1039年；独立后约70年,不把家族秩序称为现代法治统一。,S001
M003,1041,,year,secondary,minos,liberation,圣山等解放行动取得决定性成果。,S01|S27|S28,1041年条目,事实上的解放节点，不取代次年的撤军节点。,M002
M004,1042,,year,secondary,minos|sargon,withdrawal,萨尔贡撤出，米诺斯结束殖民统治。,S01|S27|S28,1042年条目,917至1042约125年。,M003
Y006,1054,,year,secondary,yan,education,炎国实施教育制度改革。,S33,1054年条目,制度史锚点；不外推九国语言教育政策。,
K001,1072,,year,secondary,kazimierz|ursus,golden_prairie,卡西米尔在金色原野相关战事中收复领土。,S31,Golden Prairie,不要与1062年结束的第十次战争混为同一日期。,
U003,1072,,year,secondary,ursus|higashi,bloodpeak_campaign,乌萨斯与东国发生血峰战役。,S23|S32,1072年条目,两国同一事件仅保留一条，供横向对照。,
V001,1072,,year,secondary,victoria,monarchy,阿斯兰国王遭处决，王权秩序发生断裂。,S01|S20,1072革命,仅取年份；不填未经本轮确认的月日。,
U004,1073,,year,secondary,ursus,succession,乌萨斯皇帝弗拉基米尔去世，发生皇位更替。,S01|S23,1073年条目,年号与君主名不同于日历系统。,
U005,1075,,year,secondary,ursus,rebellion,乌萨斯叛乱与镇压加剧统治集团冲突。,S23,1075年条目,事件概述不代替具体人物责任考据。,U004
L002,1077-09,,month,secondary,leithanien,twin_empresses,九月起义推翻巫王统治，双子女皇时代开启。,S29|S30,Septemberaufstand,不采纳来源正文与969—1077不符的两世纪以上时长。,L001
