question_id,topic,related_event_ids,source_ids,unresolved_point,safe_treatment,next_evidence
Q01,红丝绒年份,T015|T016|T017,S01|S03|S17,中文年表1100与英文约1099至1100年初未形成唯一日期。,保留两种判定及文化交流前的约束；不人为选唯一年。,完整AD剧情和ME-ST-1的原文时间线索；明确电影节与公映的间隔。
Q02,旧酒神早期活动,T001|T002|T004,S01|S14|S41,AD-8回溯已读索引，但枢机事件的世纪归类、约两世纪叙述及成立年仍缺统一锚点。,成立年空值；早期行动保留相对日期，不将Calais边城直接等同古堡。,原客户端对照及明确纪年材料，不能仅重复未定年回溯便填入年份。
Q03,古堡与肉鸽时间,T003|T012,S03|S15|S40,102X请柬已获原文转载支持但真实竣工下界与救援年仍未知。,请柬不等于建城或创团日期；救援不强制定年；古堡邀请不一概设为救援后。,新的明确竣工纪年或救援纪年证据。
Q04,傀影年龄与漫画回忆,T005|T006|T007|T010,S10|S11|S12,没有出生年；十四年前的参照年缺失。,只登记01-19生日；不以战斗经验或出版年倒推。,官方漫画逐格复核与明确纪年档案。
Q05,九国语言与历法,,S05|S07,没有九套官方置闰、年号换算和完整译名资料。,国家背景与项目语言映射分开；不制作伪官方多语年鉴。,各国原作纪年实例及官方译本对照。
Q06,英文站获取限制,,S02|S03|S09|S10|S41|S42,多页直连403；已补AD剧情连续索引文字但漫画未逐格取得。,原文转载索引与官方客户端复验仍有区别；标明访问方法。,可访问的原文页面或合法提供的原作截图。
Q07,百科算术异常,L001|L002,S29|S30,969至1077与起义页所说两世纪以上不符。,仅使用分立年份；舍弃矛盾时长而非自行更改年份。,官方设定集与剧情原始纪年。
Q08,后继酒神与巡演范围,T016|T017|T018,S08|S09|S13|S41|S42,旧团长与卢西恩不能同名合并；尾声有新方向但无营业日，报告只支持有限巡演国。,分别使用tragodia_founder与phantom_lucian；未证实国家不生成官方场次，原创拓展须批准。,正式开业或首演的证据；有纪年的巡演与成员记录。
Q09,1084网站快照,,,项目快照日期不是本次考据确认的官方猩红剧团演出日。,研究仅提供时间背景建议，不改网站日期或正式剧情。,人工决定采用范围；新增官方证据逐条链接。
Q10,螺旋桨天堂事故与复开,P001|P002|P003|P004,S01|S03|S43|S44|S45|S46|S47|S62|S63,中文和英文支持1101年末，日文列1102春；园区演出舞台与修复完成均无确证。,先保留相对事故的原创排期候选；不在1102-04-15强行公布尚可能未发生的灾害。,完整定年链及园区获准接待剧团和复开的证据。
Q11,1084新沃尔西尼错置,S004|S005|S006,S48|S49|S50,现代码两场1084场次使用约1099才成立的新城。,高置信冲突进入建议草稿；本轮不改源码，不用污染为等级0静默圆场。,人工选择旧沃尔西尼或其他同时期地点，并审核关联场馆与翻译。
Q12,事件事实与网页可见知识,T015|T016|P003|P004,,事件发生、机构获知、通知发布、快照捕获、实际损坏、首次发现、观察与物件声称日期应分开。,缺少获知或发布时间时不推演历史页面已知事故原因，缺少损坏时间不以捕获或发现时点代填。,人工决定公开通知视角和污染投影来源；只采纳被批准的设计。
