rule_id,topic,finding_zh,evidence_status,source_ids,usage_boundary
R01,通行纪元,通行纪元与萨尔贡的卢加萨尔古斯及计时遗物相关。,secondary,S05|S06,不是维多利亚纪元；不将泰拉年直接映射地球公元年。
R02,年与月,百科概括为一年12个月及365天，外形类似公历。,secondary,S05,本轮未取得完整官方月长和置闰规则；不得据此宣称所有Gregorian算法均为官方设定。
R03,历法并存,拉特兰另有以启示塔为起点的历法与百年庆典。,secondary,S05,未建立两纪元偏移量；不猜第几届庆典的公历确日。
R04,炎国阴阳历,炎国节序涉及双月观测及阴阳历。,secondary,S07,地球农历插件不能作为泰拉农历的官方换算依据；不编造节日日期。
R05,重复生日,傀影档案登记生日为01-19。,explicit,S12,这是每年重复的月日；没有出生年，战斗经验不能作为年龄。
R06,不确定日期,来源的约某年、某季、某月与未定年必须保留原精度。,research_convention,S01|S03,年份不补01-01；初期不补03-31；没有时区证据不添加UTC偏移。
R07,异常时间,克莱布拉松的异常时间与肉鸽结局不能直接排列为逐年的现实历史。,research_convention,S15,区分叙事顺序、回忆、循环和世界历日期；未证实结局不默认并存。
R08,出版与事件,现实活动上线、漫画出版和Wiki修订日期不同于泰拉事件发生日期。,research_convention,S02|S11|S16,2025年出版不推出角色在泰拉2025年活动；访问日期单独存储。
R09,机器格式,本研究使用YYYY、YYYY-MM或YYYY-MM-DD文本保存来源已有精度。,research_convention,,这只是研究交换格式而非新官方历法；空日期不是0年；约年只有中心值时不人为生成误差界。
R10,地区版本,九个国家版本的语言选择不应改变同一事件的身份或日期证据。,research_convention,,显示本地化与历法转换分离；未建立旧年号换算时只记录原写法，不臆造换算表。
