source_id,title,url,language,evidence_kind,access_method,locator,accessed_on,limitation
S01,泰拉年表,https://prts.wiki/w/泰拉年表,zh-CN,community_timeline,page_text,年代标题及各条目脚注,2026-09-14,页首说明日期系剧情推断；不是官方统一年鉴
S02,Terra Historicus,https://arknights.wiki.gg/wiki/Terra_Historicus,en,community_index,search_index,Contents：漫画与补充档案,2026-09-14,索引而非年表；正文直连403；索引不等于已阅读全部原作
S03,Arknights Timeline,https://arknights.wiki.gg/wiki/Timeline,en,community_timeline,search_index,Act or Die；脚注11；Undated events,2026-09-14,正文直连403；保留英文索引摘录给出的不确定性
S04,泰拉记事官方入口,https://terra-historicus.hypergryph.com/,zh-CN,official_portal,landing_only,重定向至 comic.hypergryph.com,2026-09-14,动态漫画入口；未取得全部漫画画面；不用于独立确认剧情日期
S05,Terra,https://arknights.wiki.gg/wiki/Terra,en,community_article,search_index,Calendar；脚注40—41,2026-09-14,历法概括是百科表述；未独立核验所引设定集原页
S06,Lugalszargus,https://arknights.wiki.gg/wiki/Lugalszargus,en,community_article,search_index,统一纪元起源,2026-09-14,二手设定整理；不提供地球公历换算基点
S07,Twin Moons,https://arknights.wiki.gg/wiki/Twin_Moons,en,community_article,search_index,炎国阴阳历及双月,2026-09-14,不提供可执行置闰或朔望算法
S08,Crimson Troupe,https://arknights.wiki.gg/wiki/Crimson_Troupe,en,community_article,search_index,Background；History；补充调查与漫画脚注,2026-09-14,团体历史综述；创立时间不明
S09,Supplemental Investigation Report,https://arknights.wiki.gg/wiki/Supplemental_Investigation_Report,en,official_text_reproduced,search_index,MLD-WW-035；Previous Cases；Origins,2026-09-14,官方衍生档案的Wiki转载；只核查索引文字；报告本身含调查者判断且无确定落款年
S10,Prelude Suite: Blood Diamond,https://arknights.wiki.gg/wiki/Prelude_Suite%3A_Blood_Diamond,en,community_synopsis,search_index,第1—2话剧情梗概,2026-09-14,未逐格核验漫画；十四年前缺少绝对参照年
S11,序言组曲：猩红血钻,https://prts.wiki/w/序言组曲：猩红血钻,zh-CN,community_index,page_text_and_search_index,漫画身份；两话及多语言标题,2026-09-14,页面出版日期是现实时间；不能填入泰拉事件日期
S12,傀影,https://prts.wiki/w/傀影,zh-CN,official_text_reproduced,page_text_and_search_index,基础档案；客观履历；Phantom与ファントム同页别名检索,2026-09-14,生日只有月日；战斗经验不是年龄；履历保留未知事项
S13,酒神,https://prts.wiki/w/酒神,zh-CN,official_text_reproduced,page_text_and_search_index,档案；Tragodia同页别名检索,2026-09-14,干员酒神为卢西恩；不能与旧剧团长视作同一个人
S14,Tragodia (NPC),https://arknights.wiki.gg/wiki/Tragodia_%28NPC%29,en,community_article,search_index,History；AD-8 After引用,2026-09-14,旧长生者团长；约两世纪前是相对叙述
S15,Calais-Blason,https://arknights.wiki.gg/wiki/Calais-Blason,en,community_article,search_index,城堡来历；时间异常；词名变体,2026-09-14,旧译Celaiblaison是地名别名；异常空间不能映射线性年表
S16,红丝绒,https://prts.wiki/w/红丝绒,zh-CN,community_index,page_text,关卡与活动信息,2026-09-14,2025活动上线时间与剧情时间分离
S17,情报处理室,https://prts.wiki/w/情报处理室,zh-CN,official_synopsis_reproduced,search_index,红丝绒：AD-7；AD-8；AD-ST-3关卡梗概,2026-09-14,使用已检索到的梗概；未宣称完整通读每份关卡对话
S18,War of the Four Nations,https://arknights.wiki.gg/wiki/War_of_the_Four_Nations,en,community_article,search_index,日期与参战阶段,2026-09-14,战争跨度不意味着每个附属事件都有同样精度
S19,Lingones,https://arknights.wiki.gg/wiki/Lingones,en,community_article,search_index,1031年10月21日陷落,2026-09-14,城市史二手归纳
S20,Palace of Westhaleg,https://arknights.wiki.gg/wiki/Palace_of_Westhaleg,en,community_article,search_index,1072革命；1094政变,2026-09-14,宫廷史二手归纳
S21,"A Top Classified Archive From July, 1098",https://arknights.wiki.gg/wiki/A_Top_Classified_Archive_From_July%2C_1098,en,official_text_reproduced,search_index,标记1098/07/■■的通信,2026-09-14,日被遮盖；不得补成月初或月末
S22,10-19,https://arknights.wiki.gg/wiki/10-19,en,official_text_reproduced,search_index,关于泰拉历31年国号的对话,2026-09-14,事件来自剧情人物陈述
S23,Ursus,https://arknights.wiki.gg/wiki/Ursus,en,community_article,search_index,History：1019—1062；1072；1073；1075,2026-09-14,国家史综述；不代表每一段已有独立原作复验
S24,Bassline/File,https://arknights.wiki.gg/wiki/Bassline/File,en,official_text_reproduced,search_index,Archive File 3：969年金律与叙拉古,2026-09-14,官方干员档案转载；未核验游戏原始画面
S25,Siracusa,https://arknights.wiki.gg/wiki/Siracusa,en,community_article,search_index,969独立；1039灰厅与家族秩序,2026-09-14,二手历史归纳
S26,Siracusa/Overview,https://arknights.wiki.gg/wiki/Siracusa/Overview,en,community_article,search_index,1100年新沃尔西尼狂欢节,2026-09-14,国家概览；不能据此断言剧团在该庆典出演
S27,Minos,https://arknights.wiki.gg/wiki/Minos,en,community_article,search_index,917春；1039；1041；1042；所引设定集285—289页,2026-09-14,未直接取得所引设定集原页
S28,Athenius,https://arknights.wiki.gg/wiki/Athenius,en,community_article,search_index,1041—1042解放；1100文化交流,2026-09-14,二手城市史
S29,Witch King,https://arknights.wiki.gg/wiki/Witch_King,en,community_article,search_index,969即位；1077倒台,2026-09-14,人物历史综述
S30,Septemberaufstand,https://arknights.wiki.gg/wiki/Septemberaufstand,en,community_article,search_index,1077年9月起义,2026-09-14,正文将969至1077称为两世纪以上存在算术问题；不采纳该时长
S31,House Nearl,https://arknights.wiki.gg/wiki/House_Nearl,en,community_article,search_index,1072 Golden Prairie,2026-09-14,用于卡西米尔战后语境；不扩写项目人物亲历
S32,Higashi,https://arknights.wiki.gg/wiki/Higashi,en,community_article,search_index,约400内乱；807两国诏；1072战争,2026-09-14,约数不应变成确日；旧年号换算未获系统核实
S33,Yan,https://arknights.wiki.gg/wiki/Yan,en,community_article,search_index,698；713；790；845；855；1054制度与交通史,2026-09-14,设定集转述；不是中文地区历法完整算法
