"concept_id","category","zh_reference","en-GB","zh-CN","en-US","de-DE","el-GR","it-IT","ja-JP","pl-PL","ru-RU","scope_notes"
"country-kjerag","country","谢拉格","Kjerag [official_reproduced;country-kjerag:F02;source=en;not-edition-approved]","谢拉格 [official_reproduced;country-kjerag:F01]","Kjerag [official_reproduced;country-kjerag:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","イェラグ [community_reference;country-kjerag:F03]","[not_verified]","[not_verified]","国家不等于喀兰贸易公司，Kjerag 不替换为 Karlan；通商与制度变化须按具体年代核验。"
"country-sargon","country","萨尔贡","Sargon [official_reproduced;country-sargon:F02;source=en;not-edition-approved]","萨尔贡 [official_reproduced;country-sargon:F01]","Sargon [official_reproduced;country-sargon:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","サルゴン [community_reference;country-sargon:F03]","[not_verified]","[not_verified]","全国、王酋辖区与雨林部落不能互作同义词；短名与帝国全称分开。"
"country-laterano","country","拉特兰","Laterano [official_reproduced;country-laterano:F02;source=en;not-edition-approved]","拉特兰 [official_reproduced;country-laterano:F01]","Laterano [official_reproduced;country-laterano:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ラテラーノ [community_reference;country-laterano:F03]","[not_verified]","[not_verified]","国家、圣城、拉特兰教会及萨科塔种族不同；后续灾变状态不能回填过去。"
"country-iberia","country","伊比利亚","Iberia [official_reproduced;country-iberia:F02;source=en;not-edition-approved]","伊比利亚 [official_reproduced;country-iberia:F01]","Iberia [official_reproduced;country-iberia:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","イベリア [community_reference;country-iberia:F03]","[not_verified]","[not_verified]","大静谧前后国家状态分开；境内阿戈尔族居民不等于海底阿戈尔国家的现行政治身份。"
"country-sami","country","萨米","Sami [official_reproduced;country-sami:F02;source=en;not-edition-approved]","萨米 [official_reproduced;country-sami:F01]","Sami [official_reproduced;country-sami:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","サーミ [community_reference;country-sami:F03]","[not_verified]","[not_verified]","国家或地区与同名巨兽不合并；部族联合不强写成中央集权国家。"
"country-bolivar","country","玻利瓦尔","Bolívar [official_reproduced;country-bolivar:F02;source=en;not-edition-approved]","玻利瓦尔 [official_reproduced;country-bolivar:F01]","Bolívar [official_reproduced;country-bolivar:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ボリバル [community_reference;country-bolivar:F03]","[not_verified]","[not_verified]","国家整体与联合政府、王国、真正玻利瓦尔人等势力分开；保留英文重音符号。"
"country-aegir","country","阿戈尔","Ægir [official_reproduced;country-aegir:F02;source=en;not-edition-approved] || Ægir [official_reproduced;country-aegir:F04;source=en;not-edition-approved]","阿戈尔 [official_reproduced;country-aegir:F01]","Ægir [official_reproduced;country-aegir:F02;source=en;not-edition-approved] || Ægir [official_reproduced;country-aegir:F04;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","エーギル [community_reference;country-aegir:F03]","[not_verified]","[not_verified]","本项是国家，不是race-aegir种族；国籍、族裔、海底居民与陆上移民不可自动等同。"
"country-durin","country","杜林","Durin [community_reference;country-durin:F02;source=en;not-edition-approved]","杜林 [community_reference;country-durin:F01]","Durin [community_reference;country-durin:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ドゥリン [community_reference;country-durin:F03]","[not_verified]","[not_verified]","本项为地下国度，不是race-durin种族，也不是代号杜林的干员；中央统一政府的存在未由本包证明。"
"country-yan","country","炎","Yan [community_reference;country-yan:F02;source=en;not-edition-approved]","炎 [community_reference;country-yan:F01]","Yan [community_reference;country-yan:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","炎国 [community_reference;country-yan:F03]","[not_verified]","[not_verified]","炎、炎国、大炎须按上下文区分简称与国号。"
"country-victoria","country","维多利亚","Victoria [official_reproduced;country-victoria:F03;source=en;not-edition-approved]","维多利亚 [official_reproduced;country-victoria:F02]","Victoria [official_reproduced;country-victoria:F03;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ヴィクトリア [community_reference;country-victoria:F01]","[not_verified]","[not_verified]","不与高卢历史领土或塔拉身份自动合并。"
"country-ursus","country","乌萨斯","Ursus [official_reproduced;country-ursus:F02;source=en;not-edition-approved]","乌萨斯 [official_reproduced;country-ursus:F01]","Ursus [official_reproduced;country-ursus:F02;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","ウルサス [official_reproduced;country-ursus:F03]","[not_verified]","[not_verified]","国家与同名种族不是同一概念。"
"country-siracusa","country","叙拉古","Siracusa [official_reproduced;country-siracusa:F03;source=en;not-edition-approved]","叙拉古 [official_reproduced;country-siracusa:F02]","Siracusa [official_reproduced;country-siracusa:F03;source=en;not-edition-approved]","[not_verified]","[not_verified]","[not_verified]","シラクーザ [community_reference;country-siracusa:F01]","[not_verified]","[not_verified]","城市改制不代表整个国家同日改制。"
